ANO;TIPO;VALOR
0;Investimento;-1324879,096
1;Custos Variáveis;103013,07
2;Custos Variáveis;72555,804
3;Custos Variáveis;43337,15
4;Custos Variáveis;43337,15
5;Custos Variáveis;43337,15
6;Custos Variáveis;43337,15
7;Receita Operacional;1456000
7;Custos Variáveis;370642,11
7;Imposto;99060,08368
8;Custos Variáveis;140849,87
9;Custos Variáveis;72555,804
10;Custos Variáveis;43337,15
11;Custos Variáveis;43337,15
12;Custos Variáveis;43337,15
13;Custos Variáveis;43337,15
14;Receita Operacional;1456000
14;Custos Variáveis;466642,11
14;Imposto;88308,08368
15;Custos Variáveis;403892,166
16;Custos Variáveis;72555,804
17;Custos Variáveis;43337,15
18;Custos Variáveis;43337,15
19;Custos Variáveis;43337,15
20;Custos Variáveis;43337,15
21;Receita Operacional;1456000
21;Custos Variáveis;370642,11
21;Imposto;99060,08368
22;Custos Variáveis;140849,87
23;Custos Variáveis;72555,804
24;Custos Variáveis;43337,15
25;Custos Variáveis;43337,15
26;Custos Variáveis;43337,15
27;Custos Variáveis;43337,15
28;Receita Operacional;1456000
28;Custos Variáveis;466642,11
28;Imposto;88308,08368
;SELIC;0,02
;RISCO BRASIL EMBI +;0,0271
;PREMIO DE RISCO DE MERCADO;0,0643
;IPCA;0,0392
